author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
27272730,2020-01-15 23:59:37+00:00, ,1217597236185575424,en,0,0,0,0,Twitter Web App,"#BREAKING:  US, #China Sign 'Momentous' #TradeDeal https://t.co/ASonTxTblZ https://t.co/81NVxkmm3w"
270517917,2020-01-15 23:56:17+00:00, ,1217596396716601344,en,44,4,11,48,Twitter Web Client,"Beijing ramping up efforts to influence foreign media — including in Canada, report says https://t.co/glf3KoFIXv via @torontostar #bcpoli #vanpoli #bclp #bcndp #bcgreens #cdnpoli #china #humanrights"
269116672,2020-01-15 23:54:49+00:00, ,1217596025956962306,en,1,0,0,0,LinkedIn,More so what implications this will have in most of the sectors of both countries? I don't know but I have to say that most branded retailers in both countries will be paying a lot of money in both imports and exports. #business #retail #china #usa #trade
2604425466,2020-01-15 23:54:35+00:00, ,1217595966980673536,en,0,0,0,0,Twitter Web App,"US backed terrorists arrested in #HongKong with bomb making paraphernalia &amp;explosives #China #USNews 
https://t.co/rnai6YaiEB"
997469076292358144,2020-01-15 23:54:15+00:00, ,1217595885443522560,en,0,0,0,1,Twitter Web App,"#China #Tread #Agriculture #Flashback Are you interested in how China its developing its relationship to #emergingmarkets, check all this articles, the first of #G20 summit in #BuenosAires in 2018, #Sinograin agrees to buy #soybean and #soyoil: https://t.co/C0dXK9sihb…"
1217244472062496768,2020-01-15 23:53:45+00:00, ,1217595758335156224,en,0,0,0,0,Twitter Web Client,"Dow, S&amp;P 500 close at record highs after Trump signs first phase of U.S.-China trade deal https://t.co/kXq4qetoQ3 #stocks #investing #nyse #nasdaq #china #tradedeal #usa"
37203620,2020-01-15 23:53:39+00:00, ,1217595733022515202,en,0,0,1,0,Twitter Web App,"Every time the poor stand up and speak up, they call it civil disobedience. That's the government's interpretation.https://t.co/zrzTRv5AId  #Warisforfailures      #China  #ukreggae"
269116672,2020-01-15 23:52:18+00:00, ,1217595395267801090,en,0,0,0,0,LinkedIn,Just a thought. Now that the US and China a partial trade deal I am curious as to what affect this will have in the business sector of both countries. #business #china #usa
268469475,2020-01-15 23:52:00+00:00, ,1217595318306582529,en,86,2,2,32,Twitter Web App,"Notepad++ new release 7.8.3 - The ""Free Uyghur"" edition continues with this release.
https://t.co/VzP2h04V7f

#FreeUyghur #HumanRightsViolation #China"
